SS,Super Street,,,
SSL,Super Street Ladies,,,
AS,A Street,,,
ASL,A Street Ladies,,,
BS,B Street,,,
BSL,B Street Ladies,,,
CS,C Street,,,
CSL,C Street Ladies,,,
DS,D Street,,,
DSL,D Street Ladies,,,
ES,E Street,,,
ESL,E Street Ladies,,,
FS,F Street,,,
FSL,F Street Ladies,,,
GS,G Street,,,
GSL,G Street Ladies,,,
HS,H Street,,,
HSL,H Street Ladies,,,
SSR,Super Street R,,,
SSRL,Super Street R Ladies,,,
SSC,Solo Spec Coupe,,,
SSCL,Solo Spec Coupe Ladies,,,
STH,Street Touring H,,,
STHL,Street Touring H Ladies,,,
STS,Street Touring Sport,,,
STSL,Street Touring Sport Ladies,,,
STX,Street Touring Xtreme,,,
STXL,Street Touring Xtreme Ladies,,,
STR,Street Touring Roadster,,,
STRL,Street Touring Roadster Ladies,,,
STU,Street Touring Ultra,,,
STUL,Street Touring Ultra Ladies,,,
SST,Super Street Touring,,,
SSTL,Super Street Touring Ladies,,,
SSP,Super Street Prepared,,,
SSPL,Super Street Prepared Ladies,,,
ASP,A Street Prepared,,,
ASPL,A Street Prepared Ladies,,,
BSP,B Street Prepared,,,
BSPL,B Street Prepared Ladies,,,
CSP,C Street Prepared,,,
CSPL,C Street Prepared Ladies,,,
DSP,D Street Prepared,,,
DSPL,D Street Prepared Ladies,,,
ESP,E Street Prepared,,,
ESPL,E Street Prepared Ladies,,,
FSP,F Street Prepared,,,
FSPL,F Street Prepared Ladies,,,
SMF,Street Modified Fwd,,,
SMFL,Street Modified Fwd Ladies,,,
SM,Street Modified,,,
SML,Street Modified Ladies,,,
SSM,Super Street Modified,,,
SSML,Super Street Modified Ladies,,,
P1,Prepared 1 (indexed),,,
P1L,Prepared 1 Ladies (indexed),,,
XP,X Prepared,,,
XPL,X Prepared Ladies,,,
CP,C Prepared,,,
CPL,C Prepared Ladies,,,
DP,D Prepared,,,
DPL,D Prepared Ladies,,,
EP,E Prepared,,,
EPL,E Prepared Ladies,,,
FP,F Prepared,,,
FPL,F Prepared Ladies,,,
HCS,Heritage Classic Street,,,
HCSL,Heritage Classic Street Ladies,,,
HCR,Heritage Classic R,,,
HCRL,Heritage Classic R Ladies,,,
SU,Street Unlimited,,,
SUL,Street Unlimited Ladies,,,
CAMC,CAM-Contemporary,,,
CAMCL,CAM-Contemporary Ladies,,,
CAMT,CAM-Traditional,,,
CAMTL,CAM-Traditional Ladies,,,
CAMS,CAM-Sports,,,
CAMSL,CAM-Sports Ladies,,,
XS,Xtreme Street (indexed),,,
XSL,Xtreme Street Ladies (indexed),,,
XSA,Xtreme Street-A,,,
XSAL,Xtreme Street-A Ladies,,,
XSB,Xtreme Street-B,,,
XSBL,Xtreme Street-B Ladies,,,
EVX,Electric Vehicle Experimental,,,
EVXL,Electric Vehicle Experimental Ladies,,,
M1,Modified 1 (indexed),,,
M1L,Modified 1 Ladies (indexed),,,
AM,A Modified,,,
AML,A Modified Ladies,,,
BM,B Modified,,,
BML,B Modified Ladies,,,
CM,C Modified,,,
CML,C Modified Ladies,,,
DM,D Modified,,,
DML,D Modified Ladies,,,
EM,E Modified,,,
EML,E Modified Ladies,,,
FM,F Modified,,,
FML,F Modified Ladies,,,
KM,F125 Shifter Kart,,,
KML,F125 Shifter Kart Ladies,,,
FSAE,Formula SAE,,,
FSAEL,Formula SAE Ladies,,,
PAX,PAX (indexed),,,
PAXL,PAX Ladies (indexed),,,
N,Novice (indexed),,,
X,Time Only (indexed),,,
